text,label
"As a User, I want to control layer rendering (symbology) for VT GIS data layers accessed via a web map service.",1
"As a trainer, I am notified about the results of surveys about my classes. (Questions: After each survey? After a set period of time? Does the trainer get an email or just know to go to the site?).",2
"As a trainer, I am notified about the results of surveys about my classes. (Questions: After each survey? After a set period of time? Does the trainer get an email or just know to go to the site?).",3
"As a trainer, I am notified about the results of surveys about my classes. (Questions: After each survey? After a set period of time? Does the trainer get an email or just know to go to the site?).",1
"As an archivist, I want to rearrange the (resource | digital object) hierarchy using keyboard-based navigation.",1
"Staff would like to generate and send a Formal Letter of complaint.",2
"Staff would like to generate and send a Formal Letter of complaint.",4
"Add PO number to McNally Report.",2
"Add PO number to McNally Report.",4
"Add PO number to McNally Report.",5
"As a site a site editor, I can set the following dates on a news item: Start Publishing Date, Old.",3
"As a User, I want access to data and web services which are openly available in a manner consistent with OpenDefinition. org's. . .",6
"As a User, I want access to data and web services which are openly available in a manner consistent with OpenDefinition. org's. . .",3
"As a public user, I want a web application that can locate all the DRS objects related to a specific collection or topic, e.g. ''Eleanor Roosevelt. ''.",3
"As a student I want one place to go when registering for classes (including finding class ratings).",1
"As a researcher, I want services to support the long term curation of data (e.g. MRI scans, experiment output, intermediate files), so that I can be sure that data will not get 'lost' with the passage of time.",3
"As a researcher, I want services to support the long term curation of data (e.g. MRI scans, experiment output, intermediate files), so that I can be sure that data will not get 'lost' with the passage of time.",1
"Managerial log entry. Manager opens user's log and interjects a comment. Manager comments are highlighted to draw distinction from user logs. Security: User, manager.",2
"Managerial log entry. Manager opens user's log and interjects a comment. Manager comments are highlighted to draw distinction from user logs. Security: User, manager.",4
"Managerial log entry. Manager opens user's log and interjects a comment. Manager comments are highlighted to draw distinction from user logs. Security: User, manager.",3
"Managerial log entry. Manager opens user's log and interjects a comment. Manager comments are highlighted to draw distinction from user logs. Security: User, manager.",5
"As a student I want to have something that presents and helps me keep track of all the steps for tasks (e.g. attaining California residency, graduation-related items).",6
"As a student I want to have something that presents and helps me keep track of all the steps for tasks (e.g. attaining California residency, graduation-related items).",3
"As a student I want to have something that presents and helps me keep track of all the steps for tasks (e.g. attaining California residency, graduation-related items).",1
"As a member with short-term memory problems, I can have the system email me a new password or a password reminder, possibly my username (unless we use email for that), and so on.",6
"As a member with short-term memory problems, I can have the system email me a new password or a password reminder, possibly my username (unless we use email for that), and so on.",1
"As a programmer working with images from the DRS, I need to be able to look up technical metadata about images so that I can properly size and position them in my web application e.g. image height/width for the ARTstor SharedShelf project, image resolution).",2
"As a programmer working with images from the DRS, I need to be able to look up technical metadata about images so that I can properly size and position them in my web application e.g. image height/width for the ARTstor SharedShelf project, image resolution).",3
"As a researcher, I want to be able to share post-experiment write-ups with other researchers (e.g. sharing protocols and workflows for conducting specific types of experiments) so that others can more easily replicate my work.",6
"As a researcher, I want to be able to share post-experiment write-ups with other researchers (e.g. sharing protocols and workflows for conducting specific types of experiments) so that others can more easily replicate my work.",3
"As a researcher, I want to be able to share post-experiment write-ups with other researchers (e.g. sharing protocols and workflows for conducting specific types of experiments) so that others can more easily replicate my work.",1
"As a Practitioner, I want my profile page to include additional details about me (i.e., some of the answers to my Practitioner application).",1
"As an editor I want to crop images so I can edit images easily without using photo editing tools and therefore I can work more productive.",7
"As a User, I want more format/projection options when downloading.",6
"As a user I can see the provenance of the page (e.g. its log book / log book section) as part of the search results.",3
"As a user I can see the provenance of the page (e.g. its log book / log book section) as part of the search results.",1
"As a cataloger or collection manager I want to be able to edit an arbitrary number of Items at once so that I can make changes to all Items in a collection efficiently.",6
"As a User, I want to download aerial photos (eg: VT orthos) so I can use them on my computer.",3
"As a User, I want to download aerial photos (eg: VT orthos) so I can use them on my computer.",1
"As a Practitioner or Trainer, when I provide content to the site I want a small graphic associated with the content indicating I’m a Practitioner or Trainer. (For example, Amazon’s “Top 500 Reviewers” approach.).",6
"As a Practitioner or Trainer, when I provide content to the site I want a small graphic associated with the content indicating I’m a Practitioner or Trainer. (For example, Amazon’s “Top 500 Reviewers” approach.).",6
"As a Practitioner or Trainer, when I provide content to the site I want a small graphic associated with the content indicating I’m a Practitioner or Trainer. (For example, Amazon’s “Top 500 Reviewers” approach.).",3
"As a Practitioner or Trainer, when I provide content to the site I want a small graphic associated with the content indicating I’m a Practitioner or Trainer. (For example, Amazon’s “Top 500 Reviewers” approach.).",1
"As a trainer who has finished teaching a Certification class, I can load an Excel file (first name, last name, email) into the site. I am prompted for the trainer names (I may not have trained alone), certification date, and type of certification (i.e., CSM or CPO). The names are loaded into a pending state and not yet added to the registry. (Note: We could have this charge $50 per person right then. ).",6
"As a trainer who has finished teaching a Certification class, I can load an Excel file (first name, last name, email) into the site. I am prompted for the trainer names (I may not have trained alone), certification date, and type of certification (i.e., CSM or CPO). The names are loaded into a pending state and not yet added to the registry. (Note: We could have this charge $50 per person right then. ).",3
"As a trainer who has finished teaching a Certification class, I can load an Excel file (first name, last name, email) into the site. I am prompted for the trainer names (I may not have trained alone), certification date, and type of certification (i.e., CSM or CPO). The names are loaded into a pending state and not yet added to the registry. (Note: We could have this charge $50 per person right then. ).",1
"As staff I want to be able to communicate back and forth with the complainant and the licensure to get the information I need to process the application.",6
"As a depositor, I want to Have metadata automatically filled from other University systems (e.g. Pure) and/or remembered from previous deposits so that I don’t have to waste time re-entering the same information.",6
"As a depositor, I want to Have metadata automatically filled from other University systems (e.g. Pure) and/or remembered from previous deposits so that I don’t have to waste time re-entering the same information.",3
"As a depositor, I want to Have metadata automatically filled from other University systems (e.g. Pure) and/or remembered from previous deposits so that I don’t have to waste time re-entering the same information.",1
"Money is collected  and  the amount is entered  into the system.",2
"Money is collected  and  the amount is entered  into the system.",4
"Money is collected  and  the amount is entered  into the system.",5
"Restrict access to the application. Only allow people who know a user's username and password to access ATS.",2
"Restrict access to the application. Only allow people who know a user's username and password to access ATS.",4
"Restrict access to the application. Only allow people who know a user's username and password to access ATS.",3
"Restrict access to the application. Only allow people who know a user's username and password to access ATS.",5
"As an Archivist, I want to be able to understand that an error occurred during import and why it might have occurred.",6
"The reservation shall be valid for any  copy of a particular book. For example , if there are five copies of Don Quixote, any  one of these  copies shall  be considered to be reserved.",2
"The reservation shall be valid for any  copy of a particular book. For example , if there are five copies of Don Quixote, any  one of these  copies shall  be considered to be reserved.",4
"The reservation shall be valid for any  copy of a particular book. For example , if there are five copies of Don Quixote, any  one of these  copies shall  be considered to be reserved.",3
"The reservation shall be valid for any  copy of a particular book. For example , if there are five copies of Don Quixote, any  one of these  copies shall  be considered to be reserved.",5
"As a provider of DRS imaging services, I need access to terms of use statements for objects. For example, aA limited menu of HL use-permissions statements could be formulated, stashed in DRS, and associated with individual resources, or whole classes of resources. When we allow our digital resources to be used outside of our library systems (e. g. within DPLA, or other applications like the Library Lab funded Zeega project), the object can travel with the requisite use-permissions.",2
"As a provider of DRS imaging services, I need access to terms of use statements for objects. For example, aA limited menu of HL use-permissions statements could be formulated, stashed in DRS, and associated with individual resources, or whole classes of resources. When we allow our digital resources to be used outside of our library systems (e. g. within DPLA, or other applications like the Library Lab funded Zeega project), the object can travel with the requisite use-permissions.",3
"As a provider of DRS imaging services, I need access to terms of use statements for objects. For example, aA limited menu of HL use-permissions statements could be formulated, stashed in DRS, and associated with individual resources, or whole classes of resources. When we allow our digital resources to be used outside of our library systems (e. g. within DPLA, or other applications like the Library Lab funded Zeega project), the object can travel with the requisite use-permissions.",1
"As a corporate sponsor I want my logo to randomly appear on the home page. (That is, it rotates among other corporate sponsors.).",3
"As a corporate sponsor I want my logo to randomly appear on the home page. (That is, it rotates among other corporate sponsors.).",1
"News Date, Stop Publishing Date.These dates refer to the date an item becomes visible on the site (perhaps next Monday), the date it stops appearing on the home page, and the date it is removed from the site (which may be never).",2
"News Date, Stop Publishing Date.These dates refer to the date an item becomes visible on the site (perhaps next Monday), the date it stops appearing on the home page, and the date it is removed from the site (which may be never).",4
"News Date, Stop Publishing Date.These dates refer to the date an item becomes visible on the site (perhaps next Monday), the date it stops appearing on the home page, and the date it is removed from the site (which may be never).",1
"News Date, Stop Publishing Date.These dates refer to the date an item becomes visible on the site (perhaps next Monday), the date it stops appearing on the home page, and the date it is removed from the site (which may be never).",5
"As a site member, I can subscribe to an RSS feed of news (and events? or are they separate?).",6
"As a site member, I can subscribe to an RSS feed of news (and events? or are they separate?).",3
"As a site member, I can subscribe to an RSS feed of news (and events? or are they separate?).",1
"To return a tape, the video bar code ID is entered  into the system.",2
"To return a tape, the video bar code ID is entered  into the system.",4
"To return a tape, the video bar code ID is entered  into the system.",5
"As a trainer, admin, or editor, I can turn a course into an event or an event into a course (in case it was entered in the wrong category). (Note: making something a Certification Course will probably require selecting the name of the course from the pre-approved list. ).",6
"As a trainer, admin, or editor, I can turn a course into an event or an event into a course (in case it was entered in the wrong category). (Note: making something a Certification Course will probably require selecting the name of the course from the pre-approved list. ).",6
"As a trainer, admin, or editor, I can turn a course into an event or an event into a course (in case it was entered in the wrong category). (Note: making something a Certification Course will probably require selecting the name of the course from the pre-approved list. ).",3
"As a trainer, admin, or editor, I can turn a course into an event or an event into a course (in case it was entered in the wrong category). (Note: making something a Certification Course will probably require selecting the name of the course from the pre-approved list. ).",1
