text,label
"As a Publisher, I want to publish a dataset, so that I can view just the dataset with a few people.",0
"As a Publisher, I want to publish a dataset, so that I can share the dataset publicly with everyone.",5
"As a Publisher, I want to sign up for an account, so that I can publish my data package to the registry and to have a publisher account to publish my data package under.",0
"As a Visitor, I want to sign up via github or google, so that I don't have to enter lots of information and remember my password for yet another website.",0
"As a Publisher, I want to know what do next after signing up, so that I can get going quickly.",0
"As an Admin, I want to invite someone to join the platform, so that they can start contributing or using data.",0
"As a Publisher, I want to import my data package into the registry, so that my data has a permanent online home to access. ",0
"As a Publisher, I want to configure my client, so that I can start publishing data packages.",0
"As a Publisher, I want to use a publish command to update a data package that is already in the registry, so that it appears there.",0
"As a Publisher, I want to unpublish a data package, so that it is no longer visible to anyone.",0
"As a Publisher, I want to permanently delete a data package, so that it no longer takes up storage space.",0
"As a Publisher, I want to validate the data I am about to publish to the registry, so that I publish good data and know that I am doing.",0
"As a Publisher, I want to data to be validated when I publish it, so that I know immediately if I have accidentally broken my data or have bugs and can take action to correct.",0
"As a Consumer, I want to know that the data I am downloading is good and can be relied on, so that I don't have to check it myself or run into annoying bugs later on.",6
"As a Publisher, I want to publish a data package where its resource data is stored on my servers but the registry caches a copy of that data, so that if my data is lost or gets broken I still have a copy people can use.",0
"As a Consumer, I want to be able to get the data for a data package even if the original data has been moved or removed, so that I can still use is and my app or analysis keeps working.",6
"As a Publisher, I want to publish a data package in the UI, so that it is available and published.",0
"As a Publisher, I want to create a data package in the UI so that it is available and published.",0
"As a Publisher, I want to be able to restore the deleted data package via cli, so that it is back visible and available to view, download.",0
"As a Publisher, I want to undelete the deleted data packages, so that the deleted data packages is now visible again.",0
"As a Publisher, I want to be able to preview the views of the current data package using cli prior to publishing, so that I can refine the json declarations of datapackage view section to achieve a great looking result.",0
"As a Consumer, I want to view a data package online, so that I can get a sense of whether this is the dataset I want.",0
"As a publisher, I want to show the world how my published data is, so that it immediately catches consumer's attention. ",0
