text,label
"As a, I want to use a configuration that is not repackaged within a built version of application, so that default end.",0
"As an external collaborator, I want to access data from bath collaborators off campus so that I can collaborate effectively, so that default end.",0
"As a End User I want to be able to see the physical context of an Item in a digital collection (i. e. See inside this folder; EAD).",1
"As a researcher, I want to interact with a revision control system so that I can keep track of changes to files over time, so that default end.",0
"As a Visitor I'm able to view textual information on the selected media element.",1
"As a DPU I want to upload master surrogates to a Component.",1
"As a user, I want to see the flight number, so that default end.",0
"Derive cruise altitudes by leg length for each of the sy system's aircraft types.",1
"As the university IT service, I want to store archived data directly on the HCP object store, so that the best use of the hc ’s features can be made.",0
"As a cataloger or collection manager I want to be able to use a grid/spreadsheet style interface so I can edit Items quickly.",1
"As a site member, the upcoming courses are what I want visitors to notice.",1
"As an archivist, I want to create and edit Agent records.",1
"As a trainer, I want my rating to show up on my profile page.",1
"As a user, I want to look through a library of sounds.",1
"As admin I want to organize area hierarchy so that it is easy to create process area architecture.",1
"As a researcher, I want to create a log book page, so that default end.",0
"As an archivist, I want to create and edit agent records, so that default end.",0
"As a site admin, I want jobs to stop publishing on the site 30 days after being posted. (Note: 30 days doesn’t need to be configurable at this point. Hardcoding is fine for now.).",1
"As a complainant, I want to submit my complaint anonymously, so that no one knows it was me.",0
"As a clerk, I want to generate an AIR report, so that default end.",0
"As an editor, I want to translate media items to multiple languages so that I can produce content in different language easily, so that default end.",0
"As a student, I want to clearly understand notifications and how they are difference from other calendar related items such as assignments so that I can make sure I know allthat I need to do, so that default end.",0
"As an archivist, I want to manage digital objects, so that default end.",0
"As a user, I want to view an interactive map of the event region so that I can view intact mass event locations listed by plot #, so that default end.",0
"As a student I'd like to check off and see my completed tasks.",1
"As a user, I want to restrict what can be entered to a metadata field, so that default end.",0
"As a trainer, I want to be assured that no one can submit the same answers multiple time and skew my results.",1
"As a user, I want to see how many digitized items have been described, so that default end.",0
"As an archivist, I want to add notes to other record types, so that default end.",0
"As a researcher, I want to attach standard metadata for drug responses, so that my data can later be searched for and understood.",0
"As a user, I want an RSS feed so I can collect records as new titles go online, since HL will digitize pamphlets for years.",1
"As a user I want to be able to prove definitively that I created a page on a certain date.",1
"As a Visitor I'm able to order the search results so that I can more easily review the results.",1
"As a User, I want access to aerial photos (eg: VT orthos) with no downloading required (ie: as a web service).",1
"As a user, I want more format or projection options when downloading, so that default end.",0
"As an IT Manager, I want iv6 support by CMS SITEMANAGER so that I am ensured that CMS SITEMANAGER will work fine once iv6 is applied into our hosting or network environment, so that default end.",0
"As a researcher I can upload files prior to having them attached to a log book page.",1
"As a marketeer I want to switch URLs when URL duplication occurs between pages so that I can solve conflicts between pages easily without having to search all pages in the tree.",1
"As a site member, I want to describe myself on my own page in a semi structured way, so that default end.",0
"As a company, I can join the Scrum Alliance by paying a corporate membership fee. This will include uploading items related to corporate membership (e.g., company description, a logo of size x by y).",1
"system should provide an active display of all system and service statuses.",1
