text,label
"As a user processing data, I want the ability to move multiple files around and rearrange them using the Neurohub file browser, so that default end.",0
"As a research information manager, I want to segment view and download statistics by country and sector, so that impact of datasets outside academia can be demonstrated.",0
"As an Administrator I'm able to manage people so that I can add edit or delete profiles.",1
"As a trainer admin or editor, I want to turn a course into an event or an event into a course, so that default end.",0
"As an academic publisher, I want to Make persistent web links between my articles and underlying datasets so that My journals can be seen to be filled with robust, high-quality research.",1
"As a trainer, I can create a new course or event. This includes the following information: name, description (HTML), trainer names (multiple selection from a list), start date, end date, venue name (HTML) and address, contact name, contact phone, contact email, a link for more information, and a link to register. For a certification course the name of the class is a dropdown list; for others, it is free text. ",1
"As a provider of DRS imaging services, I want access to terms of use statements for objects, so that default end.",0
"As complaint clerk I want to be able to contact the licensure to tell him he has a violation submitted against him.",1
"As a default role, I want the users to extend the validity period of their reservations, so that default end.",0
"As a developer who presents images, I need the granularity to get information about the images associated with a VIA URN, so I can present the user with choices.",1
"As an investigator, I want to view the acceptance test results so that to understand how feature complete the Neurohub node currently is, so that default end.",0
"As a default role, I want the rental transaction to be displayed and the tape to be marked with the date of return, so that default end.",0
"As an international student she would like UC Berkeley systems to handle her address and not make her re-enter it every time.",1
"As a CAWL, I want to apply a five percent discount to my postage rate so that I can receive the correct pricing, so that default end.",0
"As a depositor, I want to Link datasets with the project DMP (possibly from dmponline) so that Compliance with DMP can be demonstrated and the Whole project workflow is linked together.",1
"As a collection owner, I want to hire a programmer to write custom DRS content delivery services pulling up some descriptive metadata structural metadata and enough technical metadata to know the file type to be rendered ) for meeting the special needs of my users, so that default end.",0
"As lab administrator, I want to have increased access to the system to support regular users, so that default end.",0
"As a bath data archive administrator, I want to require a minimum set of metadata, so that consistent quality of metadata is maintained.",0
"As a cataloger I want to be able to see/hear/watch/read the digital object I am cataloging so I don't have to move between multiple applications while I'm creating metadata.",1
"As a user, I want potential causes of turbulence.(weather, unstable air).",1
