text,label
" Change is computed  and  displayed.",1
" Change is computed  and  displayed.",2
" If past-due amounts are owed  they  can be paid  at this  time; or  the  clerk can select an  option which  updates the rental with the return date and  calculates past-due fees.",1
" If past-due amounts are owed  they  can be paid  at this  time; or  the  clerk can select an  option which  updates the rental with the return date and  calculates past-due fees.",3
" To return a tape, the video bar code ID is entered  into the system.",1
" When all  tape Ids are entered , the system computes the total bill.",1
A manager or administrator views the changes that have been made to sensitive (audited) fields in the application. Changes are recorded from the creation of a record up to the present.,1
A manager or administrator views the changes that have been made to sensitive (audited) fields in the application. Changes are recorded from the creation of a record up to the present.,3
A manager or administrator views the changes that have been made to sensitive (audited) fields in the application. Changes are recorded from the creation of a record up to the present.,3
"A user defines ""default"" log entry access settings (see story #2). Whenever a new log entry is created, it starts with the default settings.",1
"A user defines ""default"" log entry access settings (see story #2). Whenever a new log entry is created, it starts with the default settings.",3
"A user defines ""default"" log entry access settings (see story #2). Whenever a new log entry is created, it starts with the default settings.",3
A user marks a project as being owned by his group. (Question: can a user ever belong to more than one group?).,1
A user marks a project as being owned by his group. (Question: can a user ever belong to more than one group?).,3
A user marks a project as being owned by his group. (Question: can a user ever belong to more than one group?).,3
"A user shall be able to reserve any  number of books. Similarly , multiple users shall  be able to reserve any  particular book.",1
"A user shall be able to reserve any  number of books. Similarly , multiple users shall  be able to reserve any  particular book.",3
"A user wants access to the system, so he finds an ATS system administrator, who enters in the user's first name, last name, middle initial, email address, username (unique), and phone number.  Users may be marked as ""deleted.  "" Users may also be marked as administrators. ",4
ability to preview an in process order with accurate information in PDF format and branded by the partner.,1
ability to preview an in process order with accurate information in PDF format and branded by the partner.,2
ACMELIS shall send an e-mail advising users of the expiry date of a  book’s loan period. The notification shall  be issued  two days before the book’s return date.,1
ACMELIS shall send an e-mail advising users of the expiry date of a  book’s loan period. The notification shall  be issued  two days before the book’s return date.,3
Add additional properties for repositories.,1
Add additional properties for repositories.,5
Add an interface to the route optimizer that allows a route to be scored.,1
Add PO number to McNally Report.,1
All service documents should have a standard way of displaying an example url for users to see.,1
Any  outstanding video rentals are displayed  with the amount due on each  tape and   the total amount due.,1
Any  past-due amount must be paid  before new  tapes can  be rented.,1
"As a (developer | migration developer | deployment engineer), I want to use a configuration that is not prepackaged within a built version of application.",3
As a Basic Data Entry user I want to create and update basic archival description information.,2
"As a bath data archive administrator, I want to Encourage and promote the use of open standards for deposit so that Data is as reusable as possible.",2
"As a bath data archive administrator, I want to Query the entire archive (including embargoed records) so that I can report on particular aspects of the archive holdings.",3
As a cataloger and a collections manager I want Trident to support Duke Core so that metadata is consistent between collections.,4
As a cataloger I want authority lists to be easily accessible and contextually relevant so it is easy to use the authority.,4
As a cataloger I want to be able to see/hear/watch/read all components associated on the with an item on the create/update screen so I don't have to leave the form.,4
As a cataloger I want to be able to see/hear/watch/read the digital object I am cataloging so I don't have to move between multiple applications while I'm creating metadata.,4
As a cataloger or collection manager I want to be able to edit an arbitrary number of Items at once so that I can make changes to all Items in a collection efficiently.,2
As a cataloger or collection manager I want to be able to search for records based on all Duke Core fields.,2
As a cataloger or collection manager I want to be able to use a grid/spreadsheet style interface so I can edit Items quickly.,4
As a cataloger or collection manager I want to see all of the metadata for a record while I'm editing it so that I have the full context for the item I'm cataloging.,2
"As a cataloger, I want to be able to create linked open data using persistent links to content (URNs) in the DRS.",3
As a CAWL I need to be able to apply a 5% Discount to my postage rate so I can receive the correct pricing.,4
As a clerk I need to be able to create a new complaint record so that we can investigate and process the complaint.,4
As a clerk I need to be able to generate an AIR report.,4
As a clerk I want to be able to create a Request for Information letter reflect this status in the system and set a due date so that we can track the process correctly.,2
As a clerk I want to be able to lookup the respondent if it's part of Accela so I can plug it back in the complaint.,4
As a clerk I want to be able to submit a complaint from the AIR (Annual Inspection Report) so that the respondent can fix the issues that the inspectors found.,3
As a clerk I want to be able to take a paper complaint so I can create an electronic record.,4
As a clerk I would like to be able to look up complaints by complainant or respondent so I can answer phone calls.,4
"As a collection manager (Amy Benson), I want to be able to pass in a set of URNs, possibly as a result of a HOLLIS search), and get that content back.",2
"As a collection manager (Amy Benson), I want to be able to pass in a set of URNs, possibly as a result of a HOLLIS search), and get that content back.",3
As a Collection Manager I want my collection to be discoverable in the Catalog.,4
As a collection manager I want statuses to include a status that flags a record as having a problem so we can track issues as the arise.,4
As a collection manager I want to import metadata and create records from a DCP digitazation guide.,2
As a collection manager I want to map fields in inherited metadata to Duke Core fields and import a spreadsheet and create records.,2
As a collection manager I want to search for records based on status so I can track the progress of a collection.,4
As a collection manager I want to use external authority lists so I they can be used during metadata creation.,4
